scenario,chemistry,year,value
NCX,NCA,2023,0.19092504
NCX,NMC532,2023,0.152711324
NCX,NMC622,2023,0.157559809
NCX,NMC811,2023,0.183014354
NCX,NMC900,2023,0.03
NCX,NMC900-Si,2023,0.03
NCX,LFP,2023,0.255789474
NCX,SIB,2023,0
NCX,ASSB (polymer),2023,0
NCX,ASSB (oxidic),2023,0
NCX,ASSB (sulfidic),2023,0
NCX,LSB,2023,0
NCX,LAB,2023,0
NCX,NCA,2024,0.18138756
NCX,NMC532,2024,0.144066986
NCX,NMC622,2024,0.151339713
NCX,NMC811,2024,0.189521531
NCX,NMC900,2024,0.045
NCX,NMC900-Si,2024,0.045
NCX,LFP,2024,0.243684211
NCX,SIB,2024,0
NCX,ASSB (polymer),2024,0
NCX,ASSB (oxidic),2024,0
NCX,ASSB (sulfidic),2024,0
NCX,LSB,2024,0
NCX,LAB,2024,0
NCX,NCA,2025,0.17185008
NCX,NMC532,2025,0.135422648
NCX,NMC622,2025,0.145119617
NCX,NMC811,2025,0.196028708
NCX,NMC900,2025,0.06
NCX,NMC900-Si,2025,0.06
NCX,LFP,2025,0.231578947
NCX,SIB,2025,0
NCX,ASSB (polymer),2025,0
NCX,ASSB (oxidic),2025,0
NCX,ASSB (sulfidic),2025,0
NCX,LSB,2025,0
NCX,LAB,2025,0
NCX,NCA,2026,0.1623126
NCX,NMC532,2026,0.126778309
NCX,NMC622,2026,0.138899522
NCX,NMC811,2026,0.202535885
NCX,NMC900,2026,0.075
NCX,NMC900-Si,2026,0.075
NCX,LFP,2026,0.219473684
NCX,SIB,2026,0
NCX,ASSB (polymer),2026,0
NCX,ASSB (oxidic),2026,0
NCX,ASSB (sulfidic),2026,0
NCX,LSB,2026,0
NCX,LAB,2026,0
NCX,NCA,2027,0.15277512
NCX,NMC532,2027,0.118133971
NCX,NMC622,2027,0.132679426
NCX,NMC811,2027,0.209043062
NCX,NMC900,2027,0.09
NCX,NMC900-Si,2027,0.09
NCX,LFP,2027,0.207368421
NCX,SIB,2027,0
NCX,ASSB (polymer),2027,0
NCX,ASSB (oxidic),2027,0
NCX,ASSB (sulfidic),2027,0
NCX,LSB,2027,0
NCX,LAB,2027,0
NCX,NCA,2028,0.14323764
NCX,NMC532,2028,0.109489633
NCX,NMC622,2028,0.12645933
