mine construction, gold;mine infrastructure, gold;unit;ZA;5596
tillage, harrowing, by offset disk harrow;tillage, harrowing, by offset disk harrow;hectare;RoW;5597
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;electricity, low voltage;kilowatt hour;CA-YK;5598
basalt quarry operation;basalt;kilogram;RER;5599
cottonseed production, for sowing;cottonseed, for sowing;kilogram;RoW;5600
market for single superphosphate;single superphosphate;kilogram;RER;5601
market for waste plastic plaster, final disposal;waste plastic plaster, for final disposal;kilogram;RoW;5602
transport, freight, lorry 3.5-7.5 metric ton, EURO5;transport, freight, lorry 3.5-7.5 metric ton, EURO5;ton kilometer;RoW;5603
market for cement, unspecified;cement, unspecified;kilogram;US;5604
silicon production, multi-Si, casted;silicon, multi-Si, casted;kilogram;RER;5605
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;CA-PE;5606
tofu production;tofu;kilogram;CA-QC;5607
treatment of used air filter, central unit, 600 m3/h;used air filter central unit, 600 m3/h;unit;RoW;5608
fishmeal and fish oil production, 63-65% protein, from fresh anchovy and fish residues;fish oil, from anchovy;kilogram;PE;5609
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;CN-SC;5610
flat plate solar collector production, Cu absorber;flat plate solar collector, Cu absorber;square meter;CH;5611
treatment of lignite ash, opencast refill;lignite ash;kilogram;SK;5612
treatment of used train, passenger, high-speed;used train, passenger, high-speed;unit;RoW;5613
dimethenamide production;dimethenamide;kilogram;RoW;5614
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;heat, district or industrial, other than natural gas;megajoule;KR;5615
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;electricity, low voltage;kilowatt hour;NL;5616
market for water, decarbonised;water, decarbonised;kilogram;ES;5617
market for geothermal power plant, 5.5MWel;geothermal power plant, 5.5MWel;unit;GLO;5618
electricity production, hydro, aluminium industry;electricity, high voltage, aluminium industry;kilowatt hour;CN;5619
treatment of spent sawing slurry from Si-wafer cutting;spent sawing slurry from Si-wafer cutting;litre;RoW;5620
market for transport, passenger car, medium size, diesel, EURO 4;transport, passenger car, medium size, diesel, EURO 4;kilometer;GLO;5621
window frame production, wood-metal, U=1.6 W/m2K;window frame, wood-metal, U=1.6 W/m2K;square meter;RoW;5622
aluminium scrap, new, Recycled Content cut-off;aluminium scrap, new;kilogram;GLO;5623
heat and power co-generation, oil;heat, district or industrial, other than natural gas;megajoule;US-NPCC;5624
clear-cutting, primary forest to arable land, annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;BR-MA;5625
trawler construction, steel;trawler, steel;kilogram;RoW;5626
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;kilogram;AU;5627
electricity production, lignite;electricity, high voltage;kilowatt hour;US-FRCC;5628
lime production, milled, loose;lime;kilogram;RoW;5629
photovoltaic panel production, multi-Si wafer;photovoltaic panel, multi-Si wafer;square meter;RER;5630
heat and power co-generation, wood chips, 6667 kW;heat, district or industrial, other than natural gas;megajoule;MY;5631
market for base oil;base oil;kilogram;GLO;5632
market for strawberry;strawberry;kilogram;GLO;5633
transport, passenger, bicycle;transport, passenger, bicycle;person kilometer;CH;5634
market for waste packaging paper;waste packaging paper;kilogram;BG;5635
dried roughage store construction, cold-air dried, conventional;dried roughage store, cold-air dried, conventional;cubic meter;RoW;5636
electronics scrap, Recycled Content cut-off;electronics scrap;kilogram;GLO;5637
market for used tram;used tram;unit;GLO;5638
market for electronic component machinery, unspecified;electronic component machinery, unspecified;unit;GLO;5639
methylene diphenyl diisocyanate production;methylene diphenyl diisocyanate;kilogram;RER;5640
nutrient supply from diammonium phosphate;inorganic phosphorus fertiliser, as P2O5;kilogram;RoW;5641
blast furnace sludge to market for blast furnace sludge, for recovery;blast furnace sludge;kilogram;RoW;5642
welding, arc, aluminium;welding, arc, aluminium;meter;RER;5643
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;CL;5644
cottonseed oil refinery operation;cottonseed oil, refined;kilogram;US;5645
treatment of waste emulsion paint, hazardous waste incineration, with energy recovery;waste emulsion paint;kilogram;Europe without Switzerland;5646
cement production, Portland;cement, Portland;kilogram;RoW;5647
treatment of waste paperboard, open dump, very wet infiltration class (1000mm);waste paperboard;kilogram;GLO;5648
treatment of raw sewage sludge, municipal incineration;electricity, for reuse in municipal waste incineration only;kilowatt hour;RoW;5649
stone wool production, packed;stone wool, packed;kilogram;RoW;5650
electricity production, hard coal;electricity, high voltage;kilowatt hour;CN-CQ;5651
tap water production, artificial recharged wells;tap water;kilogram;CA-QC;5652
treatment of waste polyurethane foam, collection for final disposal;waste polyurethane foam;kilogram;CH;5653
treatment of waste paper, unsorted, sorting;waste paper, sorted;kilogram;Europe without Switzerland;5654
planing, beam, softwood, u=20%;shavings, softwood, loose, measured as dry mass;kilogram;Europe without Switzerland;5655
heat and power co-generation, biogas, gas engine;electricity, high voltage;kilowatt hour;CZ;5656
soybean meal and crude oil production, mechanical extraction;soybean oil, crude;kilogram;RoW;5657
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;CA-ON;5658
transport, freight, lorry >32 metric ton, EURO3;transport, freight, lorry >32 metric ton, EURO3;ton kilometer;RoW;5659
market for waste glass;waste glass;kilogram;MK;5660
market for meat and bone meal;meat and bone meal;kilogram;CH;5661
market for waste graphical paper;waste graphical paper;kilogram;AT;5662
treatment of refinery sludge, landfarming;refinery sludge;kilogram;RoW;5663
market for inorganic nitrogen fertiliser, as N;inorganic nitrogen fertiliser, as N;kilogram;FI;5664
tillage, rolling;tillage, rolling;hectare;CH;5665
treatment of municipal solid waste, incineration;municipal solid waste;kilogram;BE;5666
peach production;peach;kilogram;ES;5667
housing system construction, cattle, tied;housing system, cattle, tied, per animal unit;unit;RoW;5668
market for transport, passenger car, small size, diesel, EURO 4;transport, passenger car, small size, diesel, EURO 4;kilometer;GLO;5669
cheese production, soft, from cow milk;cheese, from cow milk, fresh, unripened;kilogram;GLO;5670
chlorofluorination of ethylene;hexafluoroethane;kilogram;GLO;5671
electricity production, wind, 1-3MW turbine, offshore;electricity, high voltage;kilowatt hour;DE;5672
market for air distribution terminal panel, steel, 120 m3/h;air distribution terminal panel, steel, 120 m3/h;unit;GLO;5673
treatment of waste polyurethane foam, collection for final disposal;waste polyurethane foam;kilogram;RoW;5674
treatment of blast furnace gas, in power plant;heat, district or industrial, other than natural gas;megajoule;MX;5675
1,1-difluoroethane production, HFC-152a;1,1-difluoroethane, HFC-152a;kilogram;US;5676
electricity production, wind, >3MW turbine, onshore;electricity, high voltage;kilowatt hour;CN-NX;5677
monoammonium phosphate production;monoammonium phosphate;kilogram;RoW;5678
yarn production, cotton, open end spinning;yarn, cotton;kilogram;IN;5679
containerboard production, linerboard, kraftliner;tall oil, crude;kilogram;RER;5680
barium hydroxide production;barium hydroxide;kilogram;GLO;5681
market for spiral-seam duct, steel, DN 125;spiral-seam duct, steel, DN 125;meter;GLO;5682
uranium mill construction;uranium mill;unit;RoW;5683
finishing, textile, woven cotton;finishing, textile, woven cotton;kilogram;GLO;5684
market for expansion vessel, 25l;expansion vessel, 25l;unit;GLO;5685
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;heat, district or industrial, other than natural gas;megajoule;CA-ON;5686
market for section bar extrusion, aluminium;section bar extrusion, aluminium;kilogram;GLO;5687
dried roughage store construction, non ventilated;dried roughage store, non ventilated;cubic meter;RoW;5688
metallization paste production, back side, aluminium;metallization paste, back side, aluminium;kilogram;RER;5689
electricity production, oil;electricity, high voltage;kilowatt hour;AT;5690
treatment of sulfidic tailings, from gold mine operation, tailings impoundment;sulfidic tailings, from gold mine operation;kilogram;RU;5691
sawdust, wet, measured as dry mass to generic market for residual softwood, wet;residual hardwood, wet;cubic meter;CA-QC;5692
yarding and processing, mobile cable yarder on truck;cable yarding;hour;RoW;5693
market for ethoxylated alcohol (AE11);ethoxylated alcohol (AE11);kilogram;GLO;5694
cement production, Portland;cement, Portland;kilogram;CH;5695
market for solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry;solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry;kilogram;GLO;5696
packaging box factory construction;packaging box factory;unit;RoW;5697
benzaldehyde production;benzaldehyde;kilogram;RER;5698
market for reformate;reformate;kilogram;GLO;5699
dewatering of ethanol from biomass, from 95% to 99.7% solution state;ethanol, without water, in 99.7% solution state, from fermentation;kilogram;BR;5700
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;heat, district or industrial, natural gas;megajoule;HR;5701
sodium perborate production, tetrahydrate, powder;sodium perborate, tetrahydrate, powder;kilogram;RoW;5702
market for naphtha;naphtha;kilogram;CO;5703
electricity production, hydro, run-of-river;electricity, high voltage;kilowatt hour;CN-SC;5704
treatment of residue from mechanical treatment, industrial device, municipal incineration with fly ash extraction;residue from mechanical treatment, industrial device;kilogram;CH;5705
market for inorganic potassium fertiliser, as K2O;inorganic potassium fertiliser, as K2O;kilogram;PH;5706
cadmium production, semiconductor-grade;cadmium, semiconductor-grade;kilogram;RoW;5707
clear-cutting, grassland to arable land, annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;BR-RS;5708
market for concrete, 25-30MPa;concrete, 25-30MPa;cubic meter;IN;5709
treatment of wastewater from pig iron production, capacity 5E9l/year;wastewater from pig iron production;cubic meter;CH;5710
sesame seed production;sesame seed;kilogram;RoW;5711
market for waste graphical paper;waste graphical paper;kilogram;LU;5712
electricity production, nuclear, pressure water reactor;electricity, high voltage;kilowatt hour;SI;5713
gluing mill construction;gluing mill;unit;RoW;5714
market for heat, central or small-scale, natural gas, Jakobsberg;heat, central or small-scale, natural gas, Jakobsberg;megajoule;GLO;5715
concrete production, 35MPa, ready-mix, with cement blast furnace slag 6-34%;concrete, 35MPa;cubic meter;BR;5716
transport, trolleybus;transport, trolleybus;person kilometer;RoW;5717
process-specific burdens, residual material landfill;process-specific burdens, residual material landfill;kilogram;CH;5718
market for basic oxygen furnace slag, for recovery;basic oxygen furnace slag, for recovery;kilogram;RER;5719
