ventilation of dwellings, decentralized, 6 x 120 m3/h, steel ducts, with earth tube heat exchanger;ventilation of dwellings, decentralized, 6 x 120 m3/h;square meter-year;RoW;281
heat and power co-generation, wood chips, 6667 kW;heat, district or industrial, other than natural gas;megajoule;TW;282
hard coal, import from Australia;hard coal;kilogram;IN;283
electricity production, lignite;electricity, high voltage;kilowatt hour;TH;284
esterification of soybean oil;glycerine;kilogram;BR;285
market for clover seed, Swiss integrated production, for sowing;clover seed, Swiss integrated production, for sowing;kilogram;GLO;286
land use change, perennial crop;land use change, perennial crop;hectare;BR-AM;287
land already in use, perennial cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-SC;288
market for limestone, unprocessed;limestone, unprocessed;kilogram;IN;289
market for wastewater from maize starch production;wastewater from maize starch production;cubic meter;GLO;290
energy use and operation emissions, electric bicycle;energy use and operation emissions, electric bicycle;kilometer;RoW;291
heat and power co-generation, biogas, gas engine;heat, central or small-scale, other than natural gas;megajoule;MX;292
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;CN-XJ;293
treatment of waste graphical paper, open dump, wet infiltration class (500mm);waste graphical paper;kilogram;GLO;294
electricity production, hydro, run-of-river;electricity, high voltage;kilowatt hour;CA-YK;295
polar fleece production, energy use only;polar fleece production, energy use only;kilogram;RoW;296
transport, passenger car, medium size, natural gas, EURO 4;transport, passenger car, medium size, natural gas, EURO 4;kilometer;RoW;297
barley seed production, organic, for sowing;barley seed, organic, for sowing;kilogram;RoW;298
wax production, for lost-wax metal casting;wax, lost-wax casting;kilogram;GLO;299
engineered wood joist production;joist, engineered wood;meter;CA-QC;300
stearic acid production;stearic acid;kilogram;GLO;301
treatment of hazardous waste, hazardous waste incineration, with energy recovery;electricity, for reuse in municipal waste incineration only;kilowatt hour;CH;302
market for cement, alternative constituents 45%;cement, alternative constituents 45%;kilogram;RoW;303
heat and power co-generation, wood chips, 6667 kW;electricity, high voltage;kilowatt hour;RoW;304
almond production;almond;kilogram;RoW;305
planing, lath, hardwood, u=10%;sawnwood, lath, hardwood, dried (u=10%), planed;cubic meter;CH;306
treatment of used bus;used bus;unit;RoW;307
hard coal mine operation and hard coal preparation;hard coal;kilogram;RLA;308
operation, computer, desktop, with cathode ray tube display, off mode;operation, computer, desktop, with cathode ray tube display, off mode;hour;CA-QC;309
market for water, decarbonised;water, decarbonised;kilogram;BR;310
natural gas production, medium pressure, vehicle grade;natural gas, medium pressure, vehicle grade;kilogram;RoW;311
treatment of blast furnace gas, in power plant;electricity, high voltage;kilowatt hour;NO;312
furnace production, pellets, 9kW;furnace, pellets, 9kW;unit;RoW;313
market for inorganic potassium fertiliser, as K2O;inorganic potassium fertiliser, as K2O;kilogram;CO;314
market for spiral-seam duct, steel, DN 400;spiral-seam duct, steel, DN 400;meter;GLO;315
treatment of waste emulsion paint, hazardous waste incineration;waste emulsion paint;kilogram;RoW;316
treatment of waste gypsum plasterboard, recycling;waste gypsum plasterboard;kilogram;CH;317
transport, freight, aircraft, dedicated freight, short haul;transport, freight, aircraft, short haul;ton kilometer;GLO;318
irrigation, surface;irrigation;cubic meter;ZA;319
nutrient supply from monoammonium phosphate;inorganic nitrogen fertiliser, as N;kilogram;CN;320
electricity production, nuclear, pressure water reactor;electricity, high voltage;kilowatt hour;CN-JS;321
heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014;heat, district or industrial, other than natural gas;megajoule;CH;322
market for barley grain, feed, organic;barley grain, feed, organic;kilogram;GLO;323
market for clover seed, Swiss integrated production, at farm;clover seed, Swiss integrated production, at farm;kilogram;GLO;324
market for wastewater from vegetable oil refinery;wastewater from vegetable oil refinery;cubic meter;GLO;325
market for fodder beet seed, for sowing;fodder beet seed, for sowing;kilogram;GLO;326
heat and power co-generation, oil;electricity, high voltage;kilowatt hour;GR;327
silver-gold mine operation with refinery;silver;kilogram;CL;328
market for laser machining, metal, with YAG-laser, 200W power;laser machining, metal, with YAG-laser, 200W power;hour;GLO;329
compressed air production, 1000 kPa gauge, <30kW, optimised generation;compressed air, 1000 kPa gauge;cubic meter;RoW;330
