dataset name,reference product,dataset location,exchange name,exchange categories,exchange unit,exchange amount,exchange type
"silicon production, metallurgical grade","silicon, metallurgical grade",CN,Calcium II,"('air', 'non-urban air or from high stacks')",kilogram,7.753799877718848e-07,biosphere
"silicon production, metallurgical grade","silicon, metallurgical grade",CN,Sodium I,"('air', 'non-urban air or from high stacks')",kilogram,7.753799877718848e-07,biosphere
"silicon production, metallurgical grade","silicon, metallurgical grade",US,Calcium II,"('air', 'non-urban air or from high stacks')",kilogram,7.753799877718848e-07,biosphere
"silicon production, metallurgical grade","silicon, metallurgical grade",US,Sodium I,"('air', 'non-urban air or from high stacks')",kilogram,7.753799877718848e-07,biosphere
"silicon production, metallurgical grade","silicon, metallurgical grade",APAC,Calcium II,"('air', 'non-urban air or from high stacks')",kilogram,7.753799877718848e-07,biosphere
"silicon production, metallurgical grade","silicon, metallurgical grade",APAC,Sodium I,"('air', 'non-urban air or from high stacks')",kilogram,7.753799877718848e-07,biosphere
"silicon production, solar grade, modified Siemens process","silicon, solar grade",CN,"AOX, Adsorbable Organic Halides","('water', 'surface water')",kilogram,1.2618999789992813e-05,biosphere
"silicon production, solar grade, modified Siemens process","silicon, solar grade",US,"AOX, Adsorbable Organic Halides","('water', 'surface water')",kilogram,1.2618999789992813e-05,biosphere
"silicon production, solar grade, modified Siemens process","silicon, solar grade",APAC,"AOX, Adsorbable Organic Halides","('water', 'surface water')",kilogram,1.2618999789992813e-05,biosphere
"treatment, effluent from NF3 production, to wastewater treatment, class 3","treatment, effluent from NF3 production, to wastewater treatment, class 3",CH,Calcium II,"('air', 'urban air close to ground')",kilogram,0.0012263000244274735,biosphere
"treatment, effluent from NF3 production, to wastewater treatment, class 3","treatment, effluent from NF3 production, to wastewater treatment, class 3",CH,Calcium II,"('soil', 'agricultural')",kilogram,0.6485700011253357,biosphere
"deionized water production, via reverse osmosis, from brackish water","water, deionized",RER,Sodium hydroxide,"('water',)",kilogram,7.285714218596695e-07,biosphere
"deionized water production, via reverse osmosis, from sea water","water, deionized",RER,Sodium hydroxide,"('water',)",kilogram,4.25000007453491e-06,biosphere
farming and supply of Grain Sorghum,"grain sorghum, harvested, at ethanol plant",US,Dimethenamide,"('soil', 'agricultural')",kilogram,8.409241672779899e-06,biosphere
farming and supply of Sweet Sorghum,"sweet sorghum, harvested, at ethanol plant",US,Dimethenamide,"('soil', 'agricultural')",kilogram,9.034722552314634e-07,biosphere
farming and supply of Forage Sorghum,"forage sorghum, harvested, at ethanol plant",US,Dimethenamide,"('soil', 'agricultural')",kilogram,9.034722552314634e-07,biosphere
farming and supply of corn,"corn, harvested, at ethanol plant",US,Dimethenamide,"('soil', 'agricultural')",kilogram,5.029699877923122e-06,biosphere
farming and supply of wheat grains,wheat grains,RER,Prohexadione calcium,"('soil', 'agricultural')",kilogram,3.702200146449286e-08,biosphere
farming and supply of corn,"corn, harvested, at ethanol plant",RER,Dimethenamide,"('soil', 'agricultural')",kilogram,5.029699877923122e-06,biosphere
"electricity production, Evolutionary Power Reactor (EPR)","electricity, high voltage",CH,Tritium,"('air', 'non-urban air or from high stacks')",kilo Becquerel,357.79528661544595,biosphere
"electricity production, Evolutionary Power Reactor (EPR)","electricity, high voltage",CH,Tritium,"('water', 'surface water')",kilo Becquerel,9763.779464520061,biosphere
"electricity production, Evolutionary Power Reactor (EPR)","electricity, high voltage",FR,Tritium,"('air', 'non-urban air or from high stacks')",kilo Becquerel,396.27907229848347,biosphere
"electricity production, Evolutionary Power Reactor (EPR)","electricity, high voltage",FR,Tritium,"('water', 'surface water')",kilo Becquerel,10813.95315440682,biosphere
"electricity production, Evolutionary Power Reactor (EPR)","electricity, high voltage",RER,Tritium,"('air', 'non-urban air or from high stacks')",kilo Becquerel,396.27907229848347,biosphere
