ISO2,PLANT_FUEL,NET_ELECTRICITY_GENERATION_MWH,FUEL_INPUT_LHV_MJ,NET_ELECTRICAL_EFFICIENCY,CHP_PLANT,PLANT_EMISSION_CO2_KG,PLANT_EMISSION_CH4_KG,PLANT_EMISSION_SO2_KG,PLANT_EMISSION_NOX_KG,PLANT_EMISSION_PM_2.5_KG,PLANT_EMISSION_PM_10_TO_2.5_KG,PLANT_EMISSION_PM_GR_10_KG,PLANT_EMISSION_HG_0_KG,PLANT_EMISSION_HG_2P_KG,PLANT_EMISSION_HG_P_KG
US,Bituminous coal,829176.5361,10611801136,0.281293957,FALSE,935449793.8,NA,1455387.436,949867.7401,26105.46708,10739.06739,3687.678674,2.730698269,1.00909969,0.000231748
RU,Bituminous coal,215654.6133,2724348854,0.284969602,FALSE,254377826.5,NA,2147860.199,299769.8429,484002.0163,359146.9606,693174.3911,2.316396154,0.710809009,0.024547396
RU,Bituminous coal,215654.6133,2724348854,0.284969602,FALSE,254377826.5,NA,2147860.199,299769.8429,484002.0163,359146.9606,693174.3911,2.316396154,0.710809009,0.024547396
RU,Bituminous coal,215654.6133,2724348854,0.284969602,FALSE,254377826.5,NA,2147860.199,299769.8429,484002.0163,359146.9606,693174.3911,2.316396154,0.710809009,0.024547396
RU,Bituminous coal,215654.6133,2724348854,0.284969602,FALSE,254377826.5,NA,2147860.199,299769.8429,484002.0163,359146.9606,693174.3911,2.316396154,0.710809009,0.024547396
RU,Bituminous coal,496005.6106,6181900370,0.288846486,FALSE,577216231.8,NA,4873772.954,680216.5956,19007.67145,9779.411584,15729.02464,5.282504529,0.386431807,0.000116552
RU,Bituminous coal,215654.6133,2724348854,0.284969602,FALSE,254377826.5,NA,2147860.199,299769.8429,8376.635796,4309.763527,6931.743911,2.327987237,0.170299582,5.14E-05
RU,Bituminous coal,379552.1194,4701187742,0.290647323,FALSE,438959172.9,NA,3706388.051,517288.4921,14454.88064,7437.009189,11961.54797,4.017218662,0.29387217,8.86E-05
RU,Bituminous coal,457187.7802,5573447533,0.29530663,FALSE,520403790.2,NA,4394072.408,613266.355,17136.84356,8816.874117,14180.89719,4.762574625,0.348397301,0.00010508
US,Bituminous coal,334314.3172,4262102398,0.282379781,FALSE,375428498.9,NA,171327.7616,120080.7896,10060.13487,4138.461343,1421.102512,1.458440132,0.910071178,0.000168103
US,Bituminous coal,767849.2735,9789147700,0.282379781,FALSE,862279852.4,NA,393503.6296,275800.1745,23106.00191,9505.17035,3263.971882,3.349728499,2.090241,0.000386097
US,Bituminous coal,851520.4093,10855853284,0.282379781,FALSE,956240916.4,NA,436383.0029,305853.6169,5066.514807,5585.812369,4492.058629,3.714678768,2.317971103,0.000531359
US,Bituminous coal,231575.6667,2453492277,0.339790106,FALSE,221084164.3,NA,579242.8741,184870.5909,33877.06518,34338.06994,29528.22457,1.243799217,0.227554333,0.001740469
US,Bituminous coal,210523.3333,2230447524,0.339790106,FALSE,200985603.9,NA,526584.431,168064.1735,30797.33198,31216.42722,26843.84051,1.130726561,0.206867575,0.001582245
US,Bituminous coal,1768396,18735759203,0.339790106,FALSE,1688279073,NA,4423309.22,1411739.058,258697.5886,262217.9886,225488.2603,9.498103111,1.737687632,0.013290857
US,Bituminous coal,14178.52244,263682728.2,0.193576125,FALSE,23244176.87,NA,44356.58524,48580.51401,435.3280412,179.0819201,61.49477919,0.108072645,0.024368066,1.40E-06
US,Bituminous coal,14178.52244,263682728.2,0.193576125,FALSE,23244176.87,NA,44356.58524,48580.51401,435.3280412,179.0819201,61.49477919,0.108072645,0.024368066,1.40E-06
US,Bituminous coal,17723.15305,329603410.3,0.193576125,FALSE,29055221.08,NA,55445.73155,60725.64251,544.1600515,223.8524002,76.86847399,0.135090806,0.030460083,1.75E-06
US,Bituminous coal,26272.80208,488604095.4,0.193576125,FALSE,43071459.74,NA,82192.75246,90019.69245,806.6628603,331.838798,113.9498258,0.200258611,0.045154026,2.59E-06
US,Bituminous coal,55634.42353,815023334.2,0.245740111,FALSE,71845325.86,NA,85928.16124,75967.75351,2285.805395,2316.911017,1992.373739,0,0.989856897,0.002709127
US,Bituminous coal,55634.42353,815023334.2,0.245740111,FALSE,71845325.86,NA,85928.16124,75967.75351,2285.805395,2316.911017,1992.373739,0,0.989856897,0.002709127
US,Bituminous coal,64607.71765,946478710.7,0.245740111,FALSE,83433281.64,NA,99787.54208,88220.61697,2654.483685,2690.606342,2313.724342,0,1.149511235,0.003146083
US,Bituminous coal,64607.71765,946478710.7,0.245740111,FALSE,83433281.64,NA,99787.54208,88220.61697,2654.483685,2690.606342,2313.724342,0,1.149511235,0.003146083
US,Bituminous coal,64607.71765,946478710.7,0.245740111,FALSE,83433281.64,NA,99787.54208,88220.61697,2654.483685,2690.606342,2313.724342,0,1.149511235,0.003146083
PL,Bituminous coal,237859.0924,2845960894,0.300880007,FALSE,278367346.9,NA,1077551.02,601632.6531,42468.43537,17470.34014,5999.124359,6.331390444,0.965084894,0.000190477
PL,Bituminous coal,237859.0924,2845960894,0.300880007,FALSE,278367346.9,NA,1077551.02,601632.6531,42468.43537,17470.34014,5999.124359,6.331390444,0.965084894,0.000190477
PL,Bituminous coal,241099.5625,2845960894,0.304979041,FALSE,278367346.9,NA,1077551.02,601632.6531,42468.43537,17470.34014,5999.124359,6.331390444,0.965084894,0.000190477
PL,Bituminous coal,241099.5625,2845960894,0.304979041,FALSE,278367346.9,NA,1077551.02,601632.6531,42468.43537,17470.34014,5999.124359,6.331390444,0.965084894,0.000190477
PL,Bituminous coal,108306.2571,1293618588,0.301404548,FALSE,126530612.2,NA,489795.9184,273469.3878,13530.3871,13714.51086,11793.47463,2.997092651,1.916344965,0.005804435
DE,Bituminous coal,720572.1729,7261844426,0.357217763,FALSE,713107025,NA,347713.3428,604078.265,16171.08613,6652.337732,2284.34026,6.545815647,1.139028994,0.000209579
DE,Bituminous coal,720572.1729,7261844426,0.357217763,FALSE,713107025,NA,347713.3428,604078.265,16171.08613,6652.337732,2284.34026,6.545815647,1.139028994,0.000209579
DE,Bituminous coal,322671.7672,3776159101,0.30761902,FALSE,370815653,NA,180810.9382,314120.6978,18265.6975,18514.26016,15920.90739,2.307309906,1.684162681,0.004755607
DE,Bituminous coal,121682.8405,2161124901,0.202699171,TRUE,212220650.6,NA,103479.4908,179773.6917,10453.59918,10595.8535,9111.657769,1.320491208,0.963859257,0.002721671
DE,Bituminous coal,357421.0344,4182822389,0.30761902,FALSE,410749646.4,NA,200282.8854,347949.0806,9314.545609,3831.746534,1315.77999,3.770389813,0.6560807,0.000120717
RU,Subbituminous coal,215654.6133,2645837714,0.293425634,FALSE,257738968.7,NA,1655280.761,302733.654,9558.917864,4918.04545,7910.093302,6.551894833,0.606448235,0.000294977
