Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2090,0.9874632914368
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2095,1.0252882933676
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2100,1.0413145366626
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2025,0.000527549421
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2030,0.00116415093
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2035,0.00193826552
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2040,0.00389758028
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2045,0.008002160959999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2050,0.0151913079
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2055,0.0234716492
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2060,0.0289511742
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2065,0.0314594037
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2070,0.03522561581
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2075,0.043762591540000007
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2080,0.05305882665
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2085,0.05372944911
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2090,0.05345184328
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2095,0.05301317286
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Pakistan,biomass,2100,0.053475367499999996
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Russia,biomass,2025,1.8280982836271211
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Russia,biomass,2030,3.309748487757724
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Russia,biomass,2035,5.000098673361083
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Russia,biomass,2040,7.608965060588929
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Russia,biomass,2045,11.388110904060374
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Russia,biomass,2050,18.512731564515466
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Russia,biomass,2055,26.92630720343792
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Russia,biomass,2060,31.24561889449935
