Units,scenario,region,Year,account,value
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2090,gdp-per-capita-ppp,48.0536
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2095,gdp-per-capita-ppp,53.2366
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2100,gdp-per-capita-ppp,58.6593
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,1975,gdp-per-capita-ppp,14.4374
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,1990,gdp-per-capita-ppp,18.8438
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2005,gdp-per-capita-ppp,24.3511
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2010,gdp-per-capita-ppp,24.4591
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2015,gdp-per-capita-ppp,25.8563
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2021,gdp-per-capita-ppp,25.6956
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2025,gdp-per-capita-ppp,27.7602
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2030,gdp-per-capita-ppp,30.1889
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2035,gdp-per-capita-ppp,32.9308
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2040,gdp-per-capita-ppp,35.9905
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2045,gdp-per-capita-ppp,39.1442
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2050,gdp-per-capita-ppp,42.1822
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2055,gdp-per-capita-ppp,45.2304
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2060,gdp-per-capita-ppp,48.27
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2065,gdp-per-capita-ppp,51.3983
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Canada,2070,gdp-per-capita-ppp,54.5202
