Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
WITCH 5.0,ssp2_bau,brazil,Carbon Capture|Direct Air Capture,NA,0,0,0,0,1.65E-06,1.71E-06,1.77E-06,1.83E-06,1.90E-06,1.96E-06,2.04E-06,2.11E-06,2.18E-06,2.23E-06,2.28E-06,2.32E-06,2.36E-06,2.39E-06,2.42E-06,2.44E-06
WITCH 5.0,ssp2_bau,brazil,Carbon Capture|Fossil,NA,0.00022493,3.17E-12,0.000168747,3.77E-12,3.51E-12,3.72E-12,3.69E-12,3.44E-12,3.65E-12,4.27E-06,3.38E-06,2.67E-06,2.11E-06,1.67E-06,1.32E-06,1.04E-06,8.22E-07,3.44E-12,3.42E-12,3.40E-12
WITCH 5.0,ssp2_bau,brazil,Carbon Capture|Industry and Industrial Processes,NA,3.00E-13,3.08E-13,3.18E-13,3.71E-13,6.55E-07,6.75E-07,6.97E-07,7.19E-07,7.41E-07,7.61E-07,7.92E-07,8.19E-07,8.41E-07,8.60E-07,8.77E-07,8.91E-07,9.03E-07,9.14E-07,9.23E-07,9.31E-07
WITCH 5.0,ssp2_bau,brazil,Carbon Capture|Storage|Biomass,NA,7.28E-05,5.89E-05,4.78E-05,4.41E-05,3.48E-05,2.74E-05,2.16E-05,1.70E-05,1.34E-05,1.06E-05,8.37E-06,6.60E-06,5.21E-06,4.11E-06,3.24E-06,2.56E-06,2.02E-06,1.59E-06,1.26E-06,9.93E-07
WITCH 5.0,ssp2_bau,brazil,Carbon Capture|Storage|Direct Air Capture,NA,0,0,0,0,1.65E-06,1.71E-06,1.77E-06,1.83E-06,1.90E-06,1.96E-06,2.04E-06,2.11E-06,2.18E-06,2.23E-06,2.28E-06,2.32E-06,2.36E-06,2.39E-06,2.42E-06,2.44E-06
WITCH 5.0,ssp2_bau,brazil,Carbon Capture|Storage|Fossil,NA,0.00022493,3.17E-12,0.000168747,3.77E-12,3.51E-12,3.72E-12,3.69E-12,3.44E-12,3.65E-12,4.27E-06,3.38E-06,2.67E-06,2.11E-06,1.67E-06,1.32E-06,1.04E-06,8.22E-07,3.44E-12,3.42E-12,3.40E-12
WITCH 5.0,ssp2_bau,brazil,Carbon Capture|Storage|industry,NA,3.00E-13,3.08E-13,3.18E-13,3.71E-13,6.55E-07,6.75E-07,6.97E-07,7.19E-07,7.41E-07,7.61E-07,7.92E-07,8.19E-07,8.41E-07,8.60E-07,8.77E-07,8.91E-07,9.03E-07,9.14E-07,9.23E-07,9.31E-07
WITCH 5.0,ssp2_bau,brazil,Carbon Removal|Land Use,NA,-2.307348615,-2.307348615,-4.428176283,-6.54900395,-10.69540773,-14.8418115,-20.450293,-26.0587745,-32.28601175,-38.513249,-46.67032125,-54.8273935,-68.2937985,-81.7602035,-102.6311793,-123.502155,-151.66392,-179.825685,-214.1826425,-248.5396
WITCH 5.0,ssp2_bau,brazil,Carbon Removal|Land Use|Afforestation,NA,-2.307348615,-2.307348615,-4.428176283,-6.54900395,-10.69540773,-14.8418115,-20.450293,-26.0587745,-32.28601175,-38.513249,-46.67032125,-54.8273935,-68.2937985,-81.7602035,-102.6311793,-123.502155,-151.66392,-179.825685,-214.1826425,-248.5396
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|Direct Air Capture,NA,0,0,0,0,1.65E-06,1.71E-06,1.77E-06,1.83E-06,1.90E-06,1.96E-06,2.04E-06,2.11E-06,2.18E-06,2.23E-06,2.28E-06,2.32E-06,2.36E-06,2.39E-06,2.42E-06,2.44E-06
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|Land Use,NA,2.307348615,2.307348615,4.428176283,6.54900395,10.69540773,14.8418115,20.450293,26.0587745,32.28601175,38.513249,46.67032125,54.8273935,68.2937985,81.7602035,102.6311793,123.502155,151.66392,179.825685,214.1826425,248.5396
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|Land Use|Afforestation,NA,2.307348615,2.307348615,4.428176283,6.54900395,10.69540773,14.8418115,20.450293,26.0587745,32.28601175,38.513249,46.67032125,54.8273935,68.2937985,81.7602035,102.6311793,123.502155,151.66392,179.825685,214.1826425,248.5396
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|ccs,NA,0.000297709,5.89E-05,0.000216587,4.41E-05,3.54E-05,2.81E-05,2.23E-05,1.78E-05,1.42E-05,1.56E-05,1.25E-05,1.01E-05,8.16E-06,6.63E-06,5.43E-06,4.49E-06,3.74E-06,2.51E-06,2.18E-06,1.92E-06
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|ccs|Biomass,NA,7.28E-05,5.89E-05,4.78E-05,4.41E-05,3.48E-05,2.74E-05,2.16E-05,1.70E-05,1.34E-05,1.06E-05,8.37E-06,6.60E-06,5.21E-06,4.11E-06,3.24E-06,2.56E-06,2.02E-06,1.59E-06,1.26E-06,9.93E-07
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|ccs|Biomass|Energy|Supply,NA,7.28E-05,5.89E-05,4.78E-05,4.41E-05,3.48E-05,2.74E-05,2.16E-05,1.70E-05,1.34E-05,1.06E-05,8.37E-06,6.60E-06,5.21E-06,4.11E-06,3.24E-06,2.56E-06,2.02E-06,1.59E-06,1.26E-06,9.93E-07
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|ccs|Biomass|Energy|Supply|Electricity,NA,7.28E-05,5.89E-05,4.78E-05,4.41E-05,3.48E-05,2.74E-05,2.16E-05,1.70E-05,1.34E-05,1.06E-05,8.37E-06,6.60E-06,5.21E-06,4.11E-06,3.24E-06,2.56E-06,2.02E-06,1.59E-06,1.26E-06,9.93E-07
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|ccs|Fossil,NA,0.00022493,3.48E-12,0.000168747,4.14E-12,6.55E-07,6.75E-07,6.97E-07,7.19E-07,7.41E-07,5.04E-06,4.17E-06,3.49E-06,2.95E-06,2.53E-06,2.19E-06,1.93E-06,1.72E-06,9.14E-07,9.23E-07,9.31E-07
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|ccs|Fossil|Energy|Demand,NA,3.00E-13,3.08E-13,3.18E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|ccs|Fossil|Energy|Demand|Industry,NA,3.00E-13,3.08E-13,3.18E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13,3.71E-13
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|ccs|Fossil|Energy|Supply,NA,0.00022493,3.17E-12,0.000168747,3.77E-12,6.55E-07,6.75E-07,6.97E-07,7.19E-07,7.41E-07,5.04E-06,4.17E-06,3.49E-06,2.95E-06,2.53E-06,2.19E-06,1.93E-06,1.72E-06,9.14E-07,9.23E-07,9.31E-07
WITCH 5.0,ssp2_bau,brazil,Carbon Sequestration|ccs|Fossil|Energy|Supply|Electricity,NA,0.00022493,3.17E-12,0.000168747,3.77E-12,3.51E-12,3.72E-12,3.69E-12,3.44E-12,3.65E-12,4.27E-06,3.38E-06,2.67E-06,2.11E-06,1.67E-06,1.32E-06,1.04E-06,8.22E-07,3.44E-12,3.42E-12,3.40E-12
